name,lat,lon,street,postcode,city,country,url,profile_url,tags,fidelity,note
FabLab Leiden,52.1628323,4.493556,Volmolengracht 13,2312 PG,Leiden,NL,http://www.makerspaceleiden.nl/drupal/node/12,,,high,sources:trox(1)
BiblioLab Lelystad,52.5079747,5.473004899999978,Lelystad Centrum De Promesse 4,8232 VX,Lelystad,NL,http://www.flevomeerbibliotheek.nl/footer/bibliolab.html,https://www.fablabs.io/labs/bibliolablelystad,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab Flevoland Dronten | Fablab Dronten
FabLab Flevoland 2.0,52.4959937,5.4791701,De Campus 9,8233GA,Lelystad,NL,,,,medium,sources:trox(1)
Fablab de Nijverheid,52.1523937,5.17038070000001,Havikskruid 18,3738 TV,Maartensdijk,NL,http://www.fablabdenijverheid.nl,https://www.fablabs.io/labs/fablabdenijverheid,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab de Nijverheid i.o.
Fab Lab Maastricht,50.8403436,5.669079399999987,"Gardelaan 7, 6213CV Maastricht",6213 CV,Maastricht,NL,http://www.fablabmaastricht.nl,https://www.fablabs.io/labs/fablabmaastricht,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab Maastricht
FabLab Zeeland,51.49628790000001,3.61570729999994,Kousteensedijk 7,4331JE,Middelburg,NL,http://www.fablabzeeland.com,https://www.fablabs.io/labs/fablabzeeland,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2)
FabLab Groene Hart,52.16152207057592,4.743958787835709,Achttienkavels 8,2421 LG,Nieuwkoop,NL,http://www.fablabgroenehart.nl,https://www.fablabs.io/labs/fablabgroenehart,3d-printing;laser,high,sources:fabnetdata+trox(2)
Fablab Oldenzaal,52.3059812,6.9375426,Parallelstraat 52,7575 AM,Oldenzaal,NL,https://www.fablaboldenzaal.nl/,https://www.fablabs.io/labs/fablaboldenzaal,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2)
JeugdFabLab,53.083842,4.874539,Koetebuurt 3a,1794BN,Oosterend Nh,NL,http://www.jeugdfablab.nl,https://www.fablabs.io/labs/jeugdfablab,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:Jeugdfablab
FabLab Health Hub Roden,53.1418304,6.436385299999983,1e Energieweg 13,9301 LK,Roden,NL,http://www.healthhub-roden.nl,https://www.fablabs.io/labs/healthhubroden,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:Healthhub-Roden
Fablab Midden Limburg,51.2633429,5.9088907,Vrijkenstraat 2,6088 PA,Roggel,NL,,,,medium,sources:trox(1)
SPARK Lab,51.7007348,5.3534097,Graafsebaan 3,5248 JR,Rosmalen,NL,http://www.sparkcampus.nl,,,high,sources:trox(1)
Bouwkeet,51.9116338,4.4385983,Schiedamseweg 240-248,3025 AP,Rotterdam,NL,http://www.bouwkeet.org,,,high,sources:trox(1)
HET LAB Rotterdam,51.9244201,4.477732500000002,Rotterdam Schiemond 20,3024 EE,Rotterdam,NL,http://www.hetlabrotterdam.nl,https://www.fablabs.io/labs/hetlabrotterdam,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:HET LAB
Stadslab Rotterdam,51.9179227,4.487549,"Wijnhaven 99, 3011 WN",3011 WN,Rotterdam,NL,http://www.stadslabrotterdam.nl,https://www.fablabs.io/labs/stadslabrotterdam,3d-printing;cnc;electronics;laser;vinyl-cutting,high,sources:fabnetdata+trox(2)
CabFabLab,52.0704978,4.30069990000004,,,The Hague,NL,http://cabfablab.nl,https://www.fablabs.io/labs/cabfablab,,medium,sources:fabnetdata(1)
Makerspace Haagse Hout,52.0939862,4.3619927,Het Kleine Loo 284,2592 CK Den Haag,The Hague,NL,http://spacehh.nl,https://www.fablabs.io/labs/makerspacehaagsehout,3d-printing;cnc;electronics;laser;vinyl-cutting,high,sources:fabnetdata(1)
Fablab013 XL,51.5540122,5.099099700000011,Galjoenstraat 37,5017 CL,Tilburg,NL,http://fablab013.nl,https://www.fablabs.io/labs/fablab013xl,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab013 | made for arcade
ICER-lab Ulft,51.8951779,6.3839113,Hutteweg 24,7071 BV,Ulft,NL,http://www.icer.nl,https://www.fablabs.io/labs/icerlab,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:ICER-Lab
MiniFabLab Utrecht,52.0919506,5.126576699999987,Nobeldwarsstraat 33,3512EW,Utrecht,NL,http://www.minifablab.nl,https://www.fablabs.io/labs/minifablabutrecht,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:miniFabLab Utrecht
Protospace (closed),52.0847899,5.169482,Padualaan 99 Ruimte 0.145,3584 CH,Utrecht,NL,http://www.protospace.nl,https://www.fablabs.io/labs/protospacefablabutrecht,,high,sources:fabnetdata+trox(2);aka:Protospace/FabLab Utrecht
Bibliotheek Veenendaal,52.0273134,5.559473,Kees Stipplein 74,3901 TP,Veenendaal,NL,https://www.bibliotheekveenendaal.nl/leren/FabLab.html,,,high,sources:trox(1)
FabLab Den Haag,52.0775929,4.3426111,Van Alphenstraat 63D,2274NC,Voorburg,NL,http://www.fablabdenhaag.nl,,,high,sources:trox(1)
FabLab Wageningen,51.9863475,5.668019,Bronland 10 WUR 'Plus Ultra II' begane grond,6708 WH,Wageningen,NL,http://www.fablabwag.nl,https://www.fablabs.io/labs/fablabwag,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata+trox(2)
FluXus Verkadefabriek,52.4462466,4.8192626,Westzijde 168,1506 EK,Zaandam,NL,,,,medium,sources:trox(1)
FabLab Zoetermeer,52.0627301,4.493732,Duitslandlaan 440,2711 BN,Zoetermeer,NL,http://www.fablab-zoetermeer.nl,,,high,sources:trox(1)
FabLab Zwolle (closed),52.514709,6.0745485,Rieteweg 10,8041 AK,Zwolle,NL,http://www.fablabzwolle.nl,,,high,sources:trox(1)
MakersDen,52.2480329,6.1727055,St Olafstraat 3,7418 CG,deventer,NL,https://www.makersden.nl/,,,high,sources:trox(1)
